check,values,max_difference,tolerance
G_CACHED/2/initialization/gru.weight_ih_l0,336,0,0
G_CACHED/2/initialization/gru.weight_hh_l0,192,0,0
G_CACHED/2/initialization/gru.bias_ih_l0,24,0,0
G_CACHED/2/initialization/gru.bias_hh_l0,24,0,0
G_CACHED/2/initialization/message.weight,64,0,0
G_CACHED/2/initialization/message.bias,8,0,0
G_CACHED/2/initialization/point.weight,16,0,0
G_CACHED/2/initialization/decode.weight,544,0,0
G_CACHED/2/initialization/decode.bias,16,0,0
G_CACHED/2/initialization/head.weight,16,0,0
G_CACHED/2/initialization/head.bias,1,0,0
G_CACHED/2/zero_output,1172,0,0
G_CACHED/2/zero_fallback,1172,2.2737367544323206e-13,9.9999999999999998e-13
G_CACHED/head_gradient,1,3.6181127538448266e-13,1e-08
G_CACHED/reload,12,0,0
G_CACHED/numpy,12,7.7715611723760958e-15,9.9999999999999995e-08
G_REFRESH/future_label_input_0,27552,0,0
G_REFRESH/future_label_input_1,1,0,0
G_REFRESH/future_label_input_2,160,0,0
G_REFRESH/future_label_input_3,8,0,0
G_REFRESH/target,12,0,0
G_REFRESH/0/initialization/adjacency,16,0,0
G_REFRESH/0/initialization/gru.weight_ih_l0,336,0,0
G_REFRESH/0/initialization/gru.weight_hh_l0,192,0,0
G_REFRESH/0/initialization/gru.bias_ih_l0,24,0,0
G_REFRESH/0/initialization/gru.bias_hh_l0,24,0,0
G_REFRESH/0/initialization/message.weight,64,0,0
G_REFRESH/0/initialization/message.bias,8,0,0
G_REFRESH/0/initialization/point.weight,16,0,0
G_REFRESH/0/initialization/decode.weight,544,0,0
G_REFRESH/0/initialization/decode.bias,16,0,0
G_REFRESH/0/initialization/head.weight,16,0,0
G_REFRESH/0/initialization/head.bias,1,0,0
G_REFRESH/0/zero_output,1172,0,0
G_REFRESH/0/zero_fallback,1172,2.2737367544323206e-13,9.9999999999999998e-13
G_REFRESH/1/initialization/adjacency,16,0,0
G_REFRESH/1/initialization/gru.weight_ih_l0,336,0,0
G_REFRESH/1/initialization/gru.weight_hh_l0,192,0,0
G_REFRESH/1/initialization/gru.bias_ih_l0,24,0,0
G_REFRESH/1/initialization/gru.bias_hh_l0,24,0,0
G_REFRESH/1/initialization/message.weight,64,0,0
G_REFRESH/1/initialization/message.bias,8,0,0
G_REFRESH/1/initialization/point.weight,16,0,0
G_REFRESH/1/initialization/decode.weight,544,0,0
G_REFRESH/1/initialization/decode.bias,16,0,0
G_REFRESH/1/initialization/head.weight,16,0,0
G_REFRESH/1/initialization/head.bias,1,0,0
G_REFRESH/1/zero_output,1172,0,0
G_REFRESH/1/zero_fallback,1172,2.2737367544323206e-13,9.9999999999999998e-13
G_REFRESH/2/initialization/adjacency,16,0,0
G_REFRESH/2/initialization/gru.weight_ih_l0,336,0,0
G_REFRESH/2/initialization/gru.weight_hh_l0,192,0,0
G_REFRESH/2/initialization/gru.bias_ih_l0,24,0,0
G_REFRESH/2/initialization/gru.bias_hh_l0,24,0,0
G_REFRESH/2/initialization/message.weight,64,0,0
G_REFRESH/2/initialization/message.bias,8,0,0
G_REFRESH/2/initialization/point.weight,16,0,0
G_REFRESH/2/initialization/decode.weight,544,0,0
G_REFRESH/2/initialization/decode.bias,16,0,0
G_REFRESH/2/initialization/head.weight,16,0,0
G_REFRESH/2/initialization/head.bias,1,0,0
G_REFRESH/2/zero_output,1172,0,0
G_REFRESH/2/zero_fallback,1172,2.2737367544323206e-13,9.9999999999999998e-13
G_REFRESH/head_gradient,1,7.527783951744027e-12,1e-08
G_REFRESH/reload,12,0,0
G_REFRESH/numpy,12,4.4547698863084406e-15,9.9999999999999995e-08
cached_legacy_adapter_0,27552,0,0
cached_legacy_adapter_1,1,0,0
cached_legacy_adapter_2,160,0,0
cached_legacy_adapter_3,8,0,0
physical_objective,1972,1.4210854715202004e-14,1e-10
physical_prefix_isolation,1968,0,1e-08
bounded_jacobian,8,7.1456618400134175e-11,1.0000000000000001e-09
