origin,target,lead,last_observation_index,teacher_fit_days,part
325,444,119,324,612,train
325,474,149,324,612,train
325,504,179,324,612,train
339,339,0,338,612,train
339,345,6,338,612,train
339,368,29,338,612,train
339,398,59,338,612,train
339,428,89,338,612,train
339,458,119,338,612,train
339,488,149,338,612,train
339,518,179,338,612,train
353,353,0,352,612,train
353,359,6,352,612,train
353,382,29,352,612,train
353,412,59,352,612,train
353,442,89,352,612,train
353,472,119,352,612,train
353,502,149,352,612,train
353,532,179,352,612,train
367,367,0,366,612,train
367,373,6,366,612,train
367,396,29,366,612,train
367,426,59,366,612,train
367,456,89,366,612,train
367,486,119,366,612,train
367,516,149,366,612,train
367,546,179,366,612,train
381,381,0,380,612,train
381,387,6,380,612,train
381,410,29,380,612,train
381,440,59,380,612,train
381,470,89,380,612,train
381,500,119,380,612,train
381,530,149,380,612,train
381,560,179,380,612,train
395,395,0,394,612,train
395,401,6,394,612,train
395,424,29,394,612,train
395,454,59,394,612,train
395,484,89,394,612,train
395,514,119,394,612,train
395,544,149,394,612,train
395,574,179,394,612,train
409,409,0,408,612,train
409,415,6,408,612,train
409,438,29,408,612,train
409,468,59,408,612,train
409,498,89,408,612,train
409,528,119,408,612,train
409,558,149,408,612,train
409,588,179,408,612,train
423,423,0,422,612,train
423,429,6,422,612,train
423,452,29,422,612,train
423,482,59,422,612,train
423,512,89,422,612,train
423,542,119,422,612,train
423,572,149,422,612,train
423,602,179,422,612,train
437,437,0,436,612,train
437,443,6,436,612,train
437,466,29,436,612,train
437,496,59,436,612,train
437,526,89,436,612,train
437,556,119,436,612,train
437,586,149,436,612,train
451,451,0,450,612,train
451,457,6,450,612,train
451,480,29,450,612,train
451,510,59,450,612,train
451,540,89,450,612,train
451,570,119,450,612,train
451,600,149,450,612,train
465,465,0,464,612,train
465,471,6,464,612,train
465,494,29,464,612,train
465,524,59,464,612,train
465,554,89,464,612,train
465,584,119,464,612,train
479,479,0,478,612,train
479,485,6,478,612,train
479,508,29,478,612,train
479,538,59,478,612,train
479,568,89,478,612,train
479,598,119,478,612,train
493,493,0,492,612,train
493,499,6,492,612,train
493,522,29,492,612,train
493,552,59,492,612,train
493,582,89,492,612,train
507,507,0,506,612,train
507,513,6,506,612,train
507,536,29,506,612,train
507,566,59,506,612,train
507,596,89,506,612,train
521,521,0,520,612,train
521,527,6,520,612,train
521,550,29,520,612,train
521,580,59,520,612,train
521,610,89,520,612,train
535,535,0,534,612,train
535,541,6,534,612,train
535,564,29,534,612,train
535,594,59,534,612,train
549,549,0,548,612,train
549,555,6,548,612,train
549,578,29,548,612,train
549,608,59,548,612,train
563,563,0,562,612,train
563,569,6,562,612,train
563,592,29,562,612,train
577,577,0,576,612,train
577,583,6,576,612,train
577,606,29,576,612,train
591,591,0,590,612,train
591,597,6,590,612,train
605,605,0,604,612,train
605,611,6,604,612,train
