origin,target,lead,block,teacher_IN,teacher_OOF,last_observation_index,weight
252,266,14,1,342,252,251,0.005555555555555556
252,267,15,1,342,252,251,0.005555555555555556
252,268,16,1,342,252,251,0.005555555555555556
252,269,17,1,342,252,251,0.005555555555555556
252,270,18,1,342,252,251,0.005555555555555556
252,271,19,1,342,252,251,0.005555555555555556
252,272,20,1,342,252,251,0.005555555555555556
252,273,21,1,342,252,251,0.005555555555555556
252,274,22,1,342,252,251,0.005555555555555556
252,275,23,1,342,252,251,0.005555555555555556
252,276,24,1,342,252,251,0.005555555555555556
252,277,25,1,342,252,251,0.005555555555555556
252,278,26,1,342,252,251,0.005555555555555556
252,279,27,1,342,252,251,0.005555555555555556
252,280,28,1,342,252,251,0.005555555555555556
252,281,29,1,342,252,251,0.005555555555555556
252,282,30,1,342,252,251,0.005555555555555556
252,283,31,1,342,252,251,0.005555555555555556
252,284,32,1,342,252,251,0.005555555555555556
252,285,33,1,342,252,251,0.005555555555555556
252,286,34,1,342,252,251,0.005555555555555556
252,287,35,1,342,252,251,0.005555555555555556
252,288,36,1,342,252,251,0.005555555555555556
252,289,37,1,342,252,251,0.005555555555555556
252,290,38,1,342,252,251,0.005555555555555556
252,291,39,1,342,252,251,0.005555555555555556
252,292,40,1,342,252,251,0.005555555555555556
252,293,41,1,342,252,251,0.005555555555555556
252,294,42,1,342,252,251,0.005555555555555556
252,295,43,1,342,252,251,0.005555555555555556
252,296,44,1,342,252,251,0.005555555555555556
252,297,45,1,342,252,251,0.005555555555555556
252,298,46,1,342,252,251,0.005555555555555556
252,299,47,1,342,252,251,0.005555555555555556
252,300,48,1,342,252,251,0.005555555555555556
252,301,49,1,342,252,251,0.005555555555555556
252,302,50,1,342,252,251,0.005555555555555556
252,303,51,1,342,252,251,0.005555555555555556
252,304,52,1,342,252,251,0.005555555555555556
252,305,53,1,342,252,251,0.005555555555555556
252,306,54,1,342,252,251,0.005555555555555556
252,307,55,1,342,252,251,0.005555555555555556
252,308,56,1,342,252,251,0.005555555555555556
252,309,57,1,342,252,251,0.005555555555555556
252,310,58,1,342,252,251,0.005555555555555556
252,311,59,1,342,252,251,0.005555555555555556
252,312,60,1,342,252,251,0.005555555555555556
252,313,61,1,342,252,251,0.005555555555555556
252,314,62,1,342,252,251,0.005555555555555556
252,315,63,1,342,252,251,0.005555555555555556
252,316,64,1,342,252,251,0.005555555555555556
252,317,65,1,342,252,251,0.005555555555555556
252,318,66,1,342,252,251,0.005555555555555556
252,319,67,1,342,252,251,0.005555555555555556
252,320,68,1,342,252,251,0.005555555555555556
252,321,69,1,342,252,251,0.005555555555555556
252,322,70,1,342,252,251,0.005555555555555556
252,323,71,1,342,252,251,0.005555555555555556
252,324,72,1,342,252,251,0.005555555555555556
252,325,73,1,342,252,251,0.005555555555555556
252,326,74,1,342,252,251,0.005555555555555556
252,327,75,1,342,252,251,0.005555555555555556
252,328,76,1,342,252,251,0.005555555555555556
252,329,77,1,342,252,251,0.005555555555555556
252,330,78,1,342,252,251,0.005555555555555556
252,331,79,1,342,252,251,0.005555555555555556
252,332,80,1,342,252,251,0.005555555555555556
252,333,81,1,342,252,251,0.005555555555555556
252,334,82,1,342,252,251,0.005555555555555556
252,335,83,1,342,252,251,0.005555555555555556
252,336,84,1,342,252,251,0.005555555555555556
252,337,85,1,342,252,251,0.005555555555555556
252,338,86,1,342,252,251,0.005555555555555556
252,339,87,1,342,252,251,0.005555555555555556
252,340,88,1,342,252,251,0.005555555555555556
252,341,89,1,342,252,251,0.005555555555555556
